"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 164, 'O', 368, 2.097]"
"['Ti', 164, 'O', 382, 1.781]"
"['Ti', 164, 'O', 441, 1.777]"
"['Ti', 165, 'O', 356, 2.198]"
"['Ti', 165, 'O', 368, 1.79]"
"['Ti', 165, 'O', 369, 1.931]"
"['Ti', 165, 'O', 370, 2.061]"
"['Ti', 165, 'O', 385, 1.844]"
"['Ti', 165, 'O', 444, 1.966]"
"['Ti', 166, 'O', 372, 1.937]"
"['Ti', 166, 'O', 373, 1.914]"
"['Ti', 166, 'O', 374, 1.881]"
"['Ti', 166, 'O', 388, 1.836]"
"['Ti', 166, 'O', 447, 1.906]"
"['Ti', 167, 'O', 374, 2.008]"
"['Ti', 167, 'O', 375, 2.111]"
"['Ti', 167, 'O', 376, 2.13]"
"['Ti', 167, 'O', 377, 2.012]"
"['Ti', 167, 'O', 391, 1.718]"
"['Ti', 167, 'O', 450, 2.132]"
"['Ti', 168, 'O', 377, 1.883]"
"['Ti', 168, 'O', 378, 2.2]"
"['Ti', 168, 'O', 379, 2.111]"
"['Ti', 168, 'O', 380, 2.171]"
"['Ti', 168, 'O', 394, 2.199]"
"['Ti', 168, 'O', 453, 1.66]"
"['Ti', 169, 'O', 380, 1.976]"
"['Ti', 169, 'O', 381, 1.714]"
"['Ti', 169, 'O', 382, 2.196]"
"['Ti', 169, 'O', 383, 2.165]"
"['Ti', 169, 'O', 397, 1.816]"
"['Ti', 169, 'O', 456, 2.193]"
"['Ti', 170, 'O', 371, 2.198]"
"['Ti', 170, 'O', 383, 1.856]"
"['Ti', 170, 'O', 384, 1.618]"
"['Ti', 170, 'O', 385, 2.199]"
"['Ti', 170, 'O', 400, 2.007]"
"['Ti', 170, 'O', 459, 2.198]"
"['Ti', 171, 'O', 386, 1.874]"
"['Ti', 171, 'O', 387, 1.792]"
"['Ti', 171, 'O', 388, 2.193]"
"['Ti', 171, 'O', 389, 1.957]"
"['Ti', 171, 'O', 462, 2.183]"
"['Ti', 172, 'O', 389, 2.169]"
"['Ti', 172, 'O', 390, 1.735]"
"['Ti', 172, 'O', 391, 1.994]"
"['Ti', 172, 'O', 392, 2.189]"
"['Ti', 172, 'O', 465, 2.18]"
"['Ti', 173, 'O', 334, 2.096]"
"['Ti', 173, 'O', 392, 2.141]"
"['Ti', 173, 'O', 393, 1.783]"
"['Ti', 173, 'O', 394, 1.93]"
"['Ti', 173, 'O', 395, 1.829]"
"['Ti', 173, 'O', 468, 2.105]"
"['Ti', 174, 'O', 395, 1.925]"
"['Ti', 174, 'O', 396, 1.625]"
"['Ti', 174, 'O', 397, 2.191]"
"['Ti', 174, 'O', 398, 2.198]"
"['Ti', 174, 'O', 471, 2.111]"
"['Ti', 175, 'O', 398, 2.062]"
"['Ti', 175, 'O', 399, 1.749]"
"['Ti', 175, 'O', 400, 2.192]"
"['Ti', 175, 'O', 474, 2.182]"
"['Ti', 176, 'O', 402, 2.165]"
"['Ti', 176, 'O', 403, 2.102]"
"['Ti', 176, 'O', 404, 2.136]"
"['Ti', 176, 'O', 418, 2.19]"
"['Ti', 176, 'O', 477, 1.874]"
"['Ti', 177, 'O', 404, 2.132]"
"['Ti', 177, 'O', 405, 2.188]"
"['Ti', 177, 'O', 406, 1.633]"
"['Ti', 177, 'O', 407, 1.838]"
"['Ti', 177, 'O', 421, 2.115]"
"['Ti', 177, 'O', 480, 2.09]"
"['Ti', 178, 'O', 407, 2.091]"
"['Ti', 178, 'O', 408, 1.705]"
"['Ti', 178, 'O', 409, 1.871]"
"['Ti', 178, 'O', 410, 1.874]"
"['Ti', 178, 'O', 424, 2.188]"
"['Ti', 178, 'O', 483, 2.186]"
"['Ti', 179, 'O', 410, 2.131]"
"['Ti', 179, 'O', 411, 1.955]"
"['Ti', 179, 'O', 413, 1.637]"
"['Ti', 179, 'O', 427, 2.17]"
"['Ti', 179, 'O', 486, 2.188]"
"['Ti', 180, 'O', 401, 2.191]"
"['Ti', 180, 'O', 413, 2.072]"
"['Ti', 180, 'O', 414, 2.001]"
