"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Sr', 92, 'Ti', 1687, 2.986]"
"['Sr', 92, 'Ti', 1692, 3.281]"
"['Sr', 93, 'Ti', 1156, 3.331]"
"['Sr', 93, 'Ti', 1687, 3.342]"
"['Sr', 93, 'Ti', 1688, 3.382]"
"['Sr', 93, 'Ti', 1693, 3.462]"
"['Sr', 94, 'Ti', 1682, 3.734]"
"['Sr', 94, 'Ti', 1688, 3.249]"
"['Sr', 94, 'Ti', 1693, 3.028]"
"['Sr', 94, 'Ti', 1694, 3.234]"
"['Sr', 95, 'Ti', 1682, 3.197]"
"['Sr', 95, 'Ti', 1689, 2.964]"
"['Sr', 95, 'Ti', 1694, 3.102]"
"['Sr', 95, 'Ti', 1695, 3.265]"
"['Sr', 96, 'Ti', 1652, 3.288]"
"['Sr', 96, 'Ti', 1689, 2.968]"
"['Sr', 96, 'Ti', 1695, 3.296]"
"['Sr', 96, 'Ti', 1696, 3.391]"
"['Sr', 97, 'Ti', 1652, 3.275]"
"['Sr', 97, 'Ti', 1690, 3.143]"
"['Sr', 97, 'Ti', 1696, 3.686]"
"['Sr', 97, 'Ti', 1697, 2.963]"
"['Sr', 98, 'Ti', 1313, 3.286]"
"['Sr', 98, 'Ti', 1456, 3.234]"
"['Sr', 98, 'Ti', 1690, 3.343]"
"['Sr', 98, 'Ti', 1697, 3.36]"
"['Sr', 99, 'Ti', 1313, 3.023]"
"['Sr', 99, 'Ti', 1456, 3.333]"
"['Sr', 99, 'Ti', 1508, 3.265]"
"['Sr', 99, 'Ti', 1699, 3.151]"
"['Sr', 100, 'Ti', 1508, 3.379]"
"['Sr', 100, 'Ti', 1699, 3.062]"
"['Sr', 100, 'Ti', 1700, 3.272]"
"['Sr', 101, 'Ti', 1071, 3.451]"
"['Sr', 102, 'Ti', 1072, 3.601]"
"['Sr', 102, 'Ti', 1073, 3.736]"
"['Sr', 102, 'Ti', 1423, 3.259]"
"['Sr', 102, 'Ti', 1662, 3.155]"
"['Sr', 103, 'Ti', 1073, 3.389]"
"['Sr', 103, 'Ti', 1074, 3.524]"
"['Sr', 103, 'Ti', 1423, 3.35]"
"['Sr', 103, 'Ti', 1588, 3.176]"
"['Sr', 104, 'Ti', 1001, 2.957]"
"['Sr', 104, 'Ti', 1074, 3.252]"
"['Sr', 104, 'Ti', 1075, 2.986]"
"['Sr', 104, 'Ti', 1588, 3.015]"
"['Sr', 105, 'Ti', 1068, 3.52]"
"['Sr', 105, 'Ti', 1088, 2.952]"
"['Sr', 105, 'Ti', 1279, 3.385]"
"['Sr', 105, 'Ti', 1592, 3.296]"
"['Sr', 106, 'Ti', 1068, 2.998]"
"['Sr', 106, 'Ti', 1138, 3.383]"
"['Sr', 106, 'Ti', 1250, 3.468]"
"['Sr', 106, 'Ti', 1592, 2.951]"
"['Sr', 107, 'Ti', 1069, 3.17]"
"['Sr', 107, 'Ti', 1138, 3.487]"
"['Sr', 107, 'Ti', 1139, 3.084]"
"['Sr', 107, 'Ti', 1250, 3.511]"
"['Sr', 108, 'Ti', 1069, 3.024]"
"['Sr', 108, 'Ti', 1139, 3.546]"
"['Sr', 108, 'Ti', 1140, 3.374]"
"['Sr', 109, 'Ti', 1070, 3.269]"
"['Sr', 109, 'Ti', 1140, 3.414]"
"['Sr', 109, 'Ti', 1585, 3.459]"
"['Sr', 110, 'Ti', 1004, 3.417]"
"['Sr', 110, 'Ti', 1080, 3.3]"
"['Sr', 111, 'Ti', 1072, 3.305]"
"['Sr', 111, 'Ti', 1081, 3.372]"
"['Sr', 111, 'Ti', 1447, 3.312]"
"['Sr', 111, 'Ti', 1662, 3.313]"
"['Sr', 112, 'Ti', 1005, 3.283]"
"['Sr', 112, 'Ti', 1072, 3.512]"
"['Sr', 112, 'Ti', 1073, 3.541]"
"['Sr', 112, 'Ti', 1081, 3.474]"
"['Sr', 112, 'Ti', 1165, 3.264]"
"['Sr', 112, 'Ti', 1423, 3.313]"
"['Sr', 112, 'Ti', 1447, 3.399]"
"['Sr', 112, 'Ti', 1662, 3.38]"
"['Sr', 113, 'Ti', 1005, 3.675]"
"['Sr', 113, 'Ti', 1006, 3.047]"
"['Sr', 113, 'Ti', 1073, 3.361]"
"['Sr', 113, 'Ti', 1074, 3.525]"
"['Sr', 113, 'Ti', 1082, 3.443]"
"['Sr', 113, 'Ti', 1165, 3.337]"
"['Sr', 113, 'Ti', 1423, 3.256]"
"['Sr', 113, 'Ti', 1588, 3.323]"
"['Sr', 114, 'Ti', 1001, 3.49]"
"['Sr', 114, 'Ti', 1006, 3.118]"
"['Sr', 114, 'Ti', 1074, 3.304]"
"['Sr', 114, 'Ti', 1075, 3.431]"
"['Sr', 114, 'Ti', 1082, 3.299]"
"['Sr', 114, 'Ti', 1083, 3.325]"
"['Sr', 114, 'Ti', 1274, 3.379]"
"['Sr', 114, 'Ti', 1588, 3.331]"
"['Sr', 115, 'Ti', 1001, 3.419]"
"['Sr', 115, 'Ti', 1075, 2.951]"
"['Sr', 115, 'Ti', 1076, 3.554]"
"['Sr', 115, 'Ti', 1083, 3.491]"
"['Sr', 115, 'Ti', 1084, 3.471]"
"['Sr', 115, 'Ti', 1274, 3.353]"
"['Sr', 115, 'Ti', 1323, 3.35]"
"['Sr', 115, 'Ti', 1354, 3.025]"
"['Sr', 116, 'Ti', 1002, 3.174]"
"['Sr', 116, 'Ti', 1050, 3.475]"
"['Sr', 116, 'Ti', 1076, 3.086]"
"['Sr', 116, 'Ti', 1084, 3.246]"
"['Sr', 116, 'Ti', 1243, 3.709]"
"['Sr', 116, 'Ti', 1318, 3.254]"
"['Sr', 116, 'Ti', 1323, 3.522]"
"['Sr', 116, 'Ti', 1354, 3.499]"
"['Sr', 117, 'Ti', 1002, 3.503]"
"['Sr', 117, 'Ti', 1003, 3.449]"
"['Sr', 117, 'Ti', 1050, 3.194]"
"['Sr', 117, 'Ti', 1078, 3.446]"
"['Sr', 117, 'Ti', 1085, 3.461]"
"['Sr', 117, 'Ti', 1243, 3.402]"
"['Sr', 117, 'Ti', 1318, 2.958]"
"['Sr', 118, 'Ti', 1003, 3.487]"
"['Sr', 118, 'Ti', 1078, 3.257]"
"['Sr', 118, 'Ti', 1079, 3.308]"
"['Sr', 118, 'Ti', 1085, 3.467]"
"['Sr', 118, 'Ti', 1219, 3.481]"
"['Sr', 118, 'Ti', 1656, 3.194]"
"['Sr', 119, 'Ti', 1004, 3.359]"
"['Sr', 119, 'Ti', 1079, 3.601]"
"['Sr', 119, 'Ti', 1219, 3.479]"
"['Sr', 119, 'Ti', 1656, 3.339]"
"['Sr', 120, 'Ti', 1004, 3.388]"
"['Sr', 120, 'Ti', 1030, 3.363]"
"['Sr', 120, 'Ti', 1080, 3.411]"
"['Sr', 120, 'Ti', 1119, 3.377]"
"['Sr', 121, 'Ti', 1017, 3.446]"
"['Sr', 121, 'Ti', 1030, 3.422]"
"['Sr', 121, 'Ti', 1119, 3.321]"
"['Sr', 121, 'Ti', 1134, 3.395]"
"['Sr', 122, 'Ti', 1005, 3.476]"
"['Sr', 122, 'Ti', 1010, 3.389]"
"['Sr', 122, 'Ti', 1081, 3.447]"
"['Sr', 122, 'Ti', 1087, 3.445]"
"['Sr', 122, 'Ti', 1165, 3.472]"
"['Sr', 122, 'Ti', 1204, 3.335]"
"['Sr', 122, 'Ti', 1447, 3.385]"
"['Sr', 123, 'Ti', 1005, 3.731]"
"['Sr', 123, 'Ti', 1006, 3.444]"
"['Sr', 123, 'Ti', 1010, 3.42]"
"['Sr', 123, 'Ti', 1011, 3.083]"
"['Sr', 123, 'Ti', 1082, 3.374]"
"['Sr', 123, 'Ti', 1164, 3.835]"
"['Sr', 123, 'Ti', 1165, 3.425]"
"['Sr', 124, 'Ti', 1006, 3.829]"
"['Sr', 124, 'Ti', 1011, 3.01]"
"['Sr', 124, 'Ti', 1012, 3.326]"
"['Sr', 124, 'Ti', 1082, 3.469]"
"['Sr', 124, 'Ti', 1083, 3.699]"
"['Sr', 124, 'Ti', 1164, 3.275]"
"['Sr', 124, 'Ti', 1274, 3.478]"
"['Sr', 125, 'Ti', 1012, 3.511]"
"['Sr', 125, 'Ti', 1083, 3.499]"
"['Sr', 125, 'Ti', 1084, 3.28]"
"['Sr', 125, 'Ti', 1090, 3.541]"
"['Sr', 125, 'Ti', 1274, 3.234]"
"['Sr', 125, 'Ti', 1323, 3.508]"
"['Sr', 126, 'Ti', 1014, 3.373]"
"['Sr', 126, 'Ti', 1050, 3.335]"
"['Sr', 126, 'Ti', 1084, 3.322]"
"['Sr', 126, 'Ti', 1090, 3.358]"
"['Sr', 126, 'Ti', 1091, 3.312]"
"['Sr', 126, 'Ti', 1243, 3.404]"
"['Sr', 126, 'Ti', 1323, 3.47]"
"['Sr', 127, 'Ti', 1014, 3.468]"
"['Sr', 127, 'Ti', 1050, 3.562]"
"['Sr', 127, 'Ti', 1085, 3.307]"
"['Sr', 127, 'Ti', 1091, 3.422]"
"['Sr', 127, 'Ti', 1243, 3.511]"
"['Sr', 127, 'Ti', 1341, 3.431]"
"['Sr', 128, 'Ti', 1085, 3.427]"
"['Sr', 128, 'Ti', 1219, 3.33]"
"['Sr', 128, 'Ti', 1341, 3.394]"
"['Sr', 129, 'Ti', 1016, 3.448]"
"['Sr', 129, 'Ti', 1219, 3.395]"
"['Sr', 129, 'Ti', 1245, 3.459]"
"['Sr', 130, 'Ti', 1016, 3.384]"
"['Sr', 130, 'Ti', 1017, 3.361]"
"['Sr', 130, 'Ti', 1030, 3.444]"
"['Sr', 130, 'Ti', 1119, 3.312]"
"['Sr', 130, 'Ti', 1134, 3.304]"
"['Sr', 130, 'Ti', 1245, 3.537]"
"['Sr', 131, 'Ti', 1018, 3.331]"
"['Sr', 131, 'Ti', 1087, 3.363]"
"['Sr', 131, 'Ti', 1204, 3.353]"
"['Sr', 132, 'Ti', 1010, 3.351]"
"['Sr', 132, 'Ti', 1018, 3.413]"
"['Sr', 132, 'Ti', 1019, 2.96]"
"['Sr', 132, 'Ti', 1087, 3.481]"
"['Sr', 132, 'Ti', 1202, 3.419]"
"['Sr', 132, 'Ti', 1204, 3.388]"
"['Sr', 133, 'Ti', 1010, 3.386]"
"['Sr', 133, 'Ti', 1011, 3.503]"
"['Sr', 133, 'Ti', 1019, 3.474]"
"['Sr', 133, 'Ti', 1164, 3.618]"
"['Sr', 133, 'Ti', 1202, 3.407]"
"['Sr', 133, 'Ti', 1210, 2.969]"
"['Sr', 134, 'Ti', 1011, 3.424]"
"['Sr', 134, 'Ti', 1012, 3.466]"
"['Sr', 134, 'Ti', 1021, 3.586]"
"['Sr', 134, 'Ti', 1164, 2.987]"
"['Sr', 134, 'Ti', 1189, 3.446]"
"['Sr', 134, 'Ti', 1210, 3.173]"
"['Sr', 135, 'Ti', 1012, 3.483]"
"['Sr', 135, 'Ti', 1021, 3.309]"
"['Sr', 135, 'Ti', 1022, 3.327]"
"['Sr', 135, 'Ti', 1090, 3.51]"
"['Sr', 135, 'Ti', 1095, 3.247]"
"['Sr', 135, 'Ti', 1189, 3.436]"
"['Sr', 136, 'Ti', 1014, 3.562]"
"['Sr', 136, 'Ti', 1022, 3.385]"
"['Sr', 136, 'Ti', 1090, 2.962]"
"['Sr', 136, 'Ti', 1091, 3.426]"
"['Sr', 136, 'Ti', 1095, 3.448]"
"['Sr', 137, 'Ti', 1014, 3.331]"
"['Sr', 137, 'Ti', 1023, 3.47]"
"['Sr', 137, 'Ti', 1091, 3.275]"
"['Sr', 137, 'Ti', 1341, 3.443]"
"['Sr', 138, 'Ti', 1023, 3.363]"
"['Sr', 138, 'Ti', 1098, 3.352]"
"['Sr', 138, 'Ti', 1341, 3.31]"
"['Sr', 139, 'Ti', 1016, 3.405]"
"['Sr', 139, 'Ti', 1098, 3.383]"
"['Sr', 139, 'Ti', 1245, 3.394]"
"['Sr', 139, 'Ti', 1303, 3.289]"
"['Sr', 140, 'Ti', 1016, 3.348]"
"['Sr', 140, 'Ti', 1017, 3.28]"
"['Sr', 140, 'Ti', 1099, 3.409]"
"['Sr', 140, 'Ti', 1134, 3.383]"
"['Sr', 140, 'Ti', 1245, 3.569]"
"['Sr', 140, 'Ti', 1303, 3.812]"
"['Sr', 141, 'Ti', 1018, 3.292]"
"['Sr', 142, 'Ti', 1018, 3.449]"
"['Sr', 142, 'Ti', 1019, 3.046]"
"['Sr', 142, 'Ti', 1202, 3.355]"
"['Sr', 142, 'Ti', 1288, 3.429]"
"['Sr', 142, 'Ti', 1514, 3.421]"
"['Sr', 143, 'Ti', 1019, 3.491]"
"['Sr', 143, 'Ti', 1100, 3.332]"
"['Sr', 143, 'Ti', 1202, 3.285]"
"['Sr', 143, 'Ti', 1210, 3.318]"
"['Sr', 143, 'Ti', 1288, 3.466]"
"['Sr', 143, 'Ti', 1514, 3.528]"
"['Sr', 144, 'Ti', 1021, 3.535]"
"['Sr', 144, 'Ti', 1027, 3.001]"
"['Sr', 144, 'Ti', 1100, 3.344]"
"['Sr', 144, 'Ti', 1101, 3.299]"
"['Sr', 144, 'Ti', 1189, 3.292]"
"['Sr', 144, 'Ti', 1210, 3.599]"
"['Sr', 145, 'Ti', 1021, 3.436]"
"['Sr', 145, 'Ti', 1022, 3.501]"
"['Sr', 145, 'Ti', 1027, 3.119]"
"['Sr', 145, 'Ti', 1095, 3.6]"
"['Sr', 145, 'Ti', 1101, 3.384]"
"['Sr', 145, 'Ti', 1189, 3.378]"
"['Sr', 146, 'Ti', 1022, 3.38]"
"['Sr', 146, 'Ti', 1025, 3.349]"
"['Sr', 146, 'Ti', 1095, 3.847]"
"['Sr', 146, 'Ti', 1345, 3.224]"
"['Sr', 147, 'Ti', 1023, 3.645]"
"['Sr', 147, 'Ti', 1025, 3.356]"
"['Sr', 147, 'Ti', 1103, 3.411]"
"['Sr', 147, 'Ti', 1321, 3.497]"
"['Sr', 147, 'Ti', 1345, 3.347]"
"['Sr', 148, 'Ti', 1023, 3.42]"
"['Sr', 148, 'Ti', 1098, 3.428]"
