"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Bi', 85, 'Ti', 161, 3.27]"
"['Bi', 85, 'O', 266, 2.645]"
"['Bi', 85, 'O', 281, 3.194]"
"['Bi', 85, 'O', 282, 4.603]"
"['Bi', 85, 'O', 283, 3.198]"
"['Bi', 85, 'O', 298, 4.867]"
"['Bi', 85, 'O', 342, 3.193]"
"['Bi', 85, 'O', 344, 4.505]"
"['Bi', 85, 'O', 357, 2.586]"
"['Bi', 85, 'O', 358, 2.513]"
"['Bi', 85, 'O', 359, 4.772]"
"['Bi', 85, 'O', 373, 4.628]"
"['Bi', 85, 'O', 417, 4.623]"
"['Bi', 85, 'O', 432, 4.563]"
"['Bi', 86, 'Na', 28, 3.719]"
"['Bi', 86, 'Na', 30, 3.993]"
"['Bi', 86, 'Na', 40, 3.812]"
"['Bi', 86, 'Bi', 86, 0.0]"
"['Bi', 86, 'Bi', 87, 3.62]"
"['Bi', 86, 'Bi', 90, 4.286]"
"['Bi', 86, 'Ti', 132, 3.333]"
"['Bi', 86, 'Ti', 133, 3.424]"
"['Bi', 86, 'Ti', 137, 3.475]"
"['Bi', 86, 'Ti', 138, 3.356]"
"['Bi', 86, 'Ti', 157, 3.541]"
"['Bi', 86, 'Ti', 158, 3.502]"
"['Bi', 86, 'Ti', 162, 3.691]"
"['Bi', 86, 'Ti', 163, 3.278]"
"['Bi', 86, 'O', 269, 4.569]"
"['Bi', 86, 'O', 271, 4.831]"
"['Bi', 86, 'O', 272, 3.015]"
"['Bi', 86, 'O', 274, 4.436]"
"['Bi', 86, 'O', 275, 4.948]"
"['Bi', 86, 'O', 284, 4.708]"
"['Bi', 86, 'O', 286, 3.165]"
"['Bi', 86, 'O', 287, 2.596]"
"['Bi', 86, 'O', 289, 3.127]"
"['Bi', 86, 'O', 290, 4.748]"
"['Bi', 86, 'O', 304, 4.5]"
"['Bi', 86, 'O', 344, 4.953]"
"['Bi', 86, 'O', 345, 2.737]"
"['Bi', 86, 'O', 346, 4.909]"
"['Bi', 86, 'O', 347, 3.173]"
"['Bi', 86, 'O', 348, 2.621]"
"['Bi', 86, 'O', 349, 4.714]"
"['Bi', 86, 'O', 350, 4.778]"
"['Bi', 86, 'O', 360, 3.199]"
"['Bi', 86, 'O', 361, 3.196]"
"['Bi', 86, 'O', 362, 3.109]"
"['Bi', 86, 'O', 363, 2.287]"
"['Bi', 86, 'O', 364, 2.439]"
"['Bi', 86, 'O', 365, 4.339]"
"['Bi', 86, 'O', 379, 4.339]"
"['Bi', 86, 'O', 423, 4.806]"
"['Bi', 86, 'O', 435, 4.582]"
"['Bi', 86, 'O', 438, 4.45]"
"['Bi', 87, 'Na', 29, 3.64]"
"['Bi', 87, 'Bi', 86, 3.62]"
"['Bi', 87, 'Bi', 87, 0.0]"
"['Bi', 87, 'Bi', 88, 3.853]"
"['Bi', 87, 'Bi', 91, 3.871]"
"['Bi', 87, 'Bi', 99, 3.833]"
"['Bi', 87, 'Ti', 133, 3.604]"
"['Bi', 87, 'Ti', 134, 3.71]"
"['Bi', 87, 'Ti', 138, 3.352]"
